fecha,cola_nombre,alertadas,respondidas,manejadas,no_contestadas,salientes,tiempoManejo,EnPlataforma,Ocupado_GestionBackOffice,Disponible,tiempoAlertado,tiempoConversacion_Entrantes,tasa_abandono,ratio_ocupacion,AHT,ASA,ATT
2025-05-22,CMP_COV_BGP_ESSD8401,638,568,681,70,113,1.76,405.57,0.26,0.07,0.08,1.57,4.56,86.75,0.03,0.06,0.02
2025-05-22,CMP_MKT_BGPURGENCIAS_ESSD8401,11,11,63,0,52,0.19,515.38,5.15,0.0,0.0,0.05,0.0,97.23,0.02,0.06,0.02
2025-05-22,CMP_MKT_BGP_ESSD8401,1289,1238,1700,51,462,2.51,490.19,3.58,0.02,0.07,2.01,2.81,98.64,0.04,0.08,0.04
2025-05-23,CMP_COV_BGPURGENCIAS_ESSD8401,18,8,43,10,35,0.09,421.75,0.19,0.02,0.0,0.03,34.67,64.37,0.03,0.0,0.02
2025-05-23,CMP_COV_BGP_ESSD8401,600,542,680,58,138,1.71,407.22,0.3,0.12,0.07,1.51,4.42,88.21,0.04,0.06,0.02
2025-05-23,CMP_MKT_BGPURGENCIAS_ESSD8401,12,12,23,0,11,0.15,447.74,3.34,0.0,0.01,0.1,0.0,97.48,0.03,0.08,0.03
2025-05-23,CMP_MKT_BGP_ESSD8401,1006,961,1421,45,460,2.16,434.28,3.75,0.03,0.06,1.69,2.18,96.56,0.04,0.06,0.03
2025-05-26,CMP_COV_BGPURGENCIAS_ESSD8401,23,13,39,10,26,0.11,451.31,0.45,0.03,0.01,0.04,39.26,60.98,0.02,0.0,0.02
2025-05-26,CMP_COV_BGP_ESSD8401,755,684,787,71,103,2.06,431.38,0.59,0.09,0.09,1.82,4.72,89.54,0.03,0.07,0.02
2025-05-26,CMP_MKT_BGPURGENCIAS_ESSD8401,12,11,106,1,95,0.31,492.58,4.14,0.01,0.0,0.04,4.0,96.48,0.02,0.08,0.01
2025-05-26,CMP_MKT_BGP_ESSD8401,1276,1229,1903,47,674,2.34,474.44,3.72,0.06,0.07,1.75,8.78,90.48,0.03,0.0,0.03
2025-05-27,CMP_COV_BGPURGENCIAS_ESSD8401,18,10,30,8,20,0.1,435.58,0.48,0.04,0.0,0.04,31.48,74.67,0.04,0.22,0.04
2025-05-27,CMP_COV_BGP_ESSD8401,590,536,624,54,88,1.8,431.51,0.65,0.07,0.08,1.6,3.83,85.9,0.03,0.05,0.02
2025-05-27,CMP_MKT_BGPURGENCIAS_ESSD8401,3,3,117,0,114,0.48,484.81,5.29,0.61,0.0,0.03,0.0,73.49,0.04,0.04,0.02
2025-05-27,CMP_MKT_BGP_ESSD8401,1349,1299,1898,50,599,2.43,470.26,3.97,0.03,0.07,1.87,6.11,94.08,0.04,0.0,0.03
2025-05-28,CMP_COV_BGPURGENCIAS_ESSD8401,15,8,36,7,28,0.09,399.18,0.38,0.04,0.0,0.02,36.36,43.64,0.02,0.0,0.01
2025-05-28,CMP_COV_BGP_ESSD8401,639,594,801,45,207,1.73,412.21,0.49,0.07,0.08,1.45,2.98,87.48,0.03,0.06,0.02
2025-05-28,CMP_MKT_BGPURGENCIAS_ESSD8401,13,13,62,0,49,0.31,486.48,2.32,0.05,0.0,0.07,0.0,73.57,0.02,0.06,0.01
2025-05-28,CMP_MKT_BGP_ESSD8401,1164,1115,1726,49,611,1.9,478.07,4.18,0.03,0.06,1.42,4.13,95.85,0.04,0.08,0.03
2025-05-29,CMP_COV_BGPURGENCIAS_ESSD8401,25,17,40,8,23,0.08,382.26,0.38,0.09,0.0,0.04,32.58,45.52,0.02,0.0,0.02
2025-05-29,CMP_COV_BGP_ESSD8401,667,615,824,52,208,1.91,421.91,0.48,0.12,0.08,1.61,3.65,81.89,0.03,0.06,0.02
2025-05-29,CMP_MKT_BGPURGENCIAS_ESSD8401,12,12,46,0,34,0.7,486.19,3.78,0.06,0.01,0.23,0.0,91.29,0.05,0.09,0.06
2025-05-29,CMP_MKT_BGP_ESSD8401,1078,1022,1644,56,622,2.2,505.73,4.57,0.03,0.06,1.62,3.11,97.17,0.04,0.07,0.03
2025-05-30,CMP_COV_BGPURGENCIAS_ESSD8401,39,23,48,16,25,0.13,383.37,0.22,0.03,0.01,0.07,32.64,65.31,0.03,0.0,0.03
2025-05-30,CMP_COV_BGP_ESSD8401,578,527,712,51,185,1.55,407.86,0.75,0.08,0.07,1.29,3.75,82.67,0.03,0.06,0.02
